# Curated verse references, one per line:
#   surah:ayah | theme | source
#   surah:start-end | theme | source
# Theme and source are optional; the reference alone is still a valid line.
# Themes (closed vocabulary, enforced by testThemeVocabularyIsClosed):
#   mercy hope patience reliance dua gratitude character knowledge
#   justice tawhid accountability hereafter warning
# Sources are keys defined in docs/verse-sources.md.
1:1-7 | dua | al-fatiha
34:39 | character | topical-index
35:2 | mercy | topical-index
35:3 | tawhid | topical-index
35:5 | character | topical-index
35:15 | character | topical-index
36:40 | character | topical-index
36:58 | mercy | topical-index
36:60-61 | character | topical-index
36:82 | character | topical-index
36:83 | tawhid | topical-index
37:100 | dua | quranic-dua
37:180-182 | dua | quranic-dua
38:29 | knowledge | topical-index
39:36 | reliance | topical-index
39:53 | mercy | topical-index
39:54 | warning | topical-index
39:62 | reliance | topical-index
40:19 | character | topical-index
40:55 | patience | topical-index
40:60 | warning | topical-index
40:65 | dua | quranic-dua
41:30 | hereafter | topical-index
41:33 | dua | quranic-dua
41:34-35 | patience | topical-index
41:35 | patience | topical-index
41:46 | character | topical-index
42:19 | character | topical-index
42:25 | mercy | topical-index
42:30 | mercy | topical-index
42:36-37 | reliance | topical-index
42:40 | mercy | topical-index
42:43 | patience | topical-index
43:67 | character | topical-index
43:68 | character | topical-index
44:38-39 | character | topical-index
45:13 | character | topical-index
45:22 | accountability | topical-index
46:13 | character | topical-index
46:35 | patience | topical-index
47:7 | character | topical-index
47:19 | tawhid | topical-index
47:36 | hereafter | topical-index
48:4 | dua | quranic-dua
49:6 | character | topical-index
49:10 | accountability | topical-index
49:11-12 | character | hujurat-akhlaq
49:12 | accountability | topical-index
49:13 | character | hujurat-akhlaq
50:16 | character | topical-index
50:37 | character | topical-index
50:39 | patience | topical-index
51:15-18 | mercy | topical-index
51:56 | tawhid | topical-index
51:58 | character | topical-index
52:48 | dua | quranic-dua
53:39-41 | accountability | topical-index
53:42-43 | character | topical-index
54:17 | character | topical-index
54:49 | character | topical-index
54:54-55 | character | topical-index
55:13 | character | topical-index
55:26-27 | dua | quranic-dua
55:60 | character | topical-index
55:78 | dua | quranic-dua
56:63-64 | character | topical-index
56:74 | dua | quranic-dua
57:3 | character | topical-index
57:20 | hereafter | topical-index
57:23 | hope | topical-index
58:21 | character | topical-index
59:18 | accountability | topical-index
59:19 | character | topical-index
59:21 | character | topical-index
59:22-24 | tawhid | topical-index
60:5 | dua | quranic-dua
60:8 | justice | topical-index
61:2-3 | character | topical-index
62:10 | character | topical-index
63:9 | character | topical-index
64:11 | character | topical-index
64:15 | character | topical-index
64:17 | mercy | topical-index
65:2-3 | reliance | topical-index
65:3 | reliance | topical-index
66:11 | dua | quranic-dua
67:1 | character | topical-index
67:2 | mercy | topical-index
67:13 | character | topical-index
67:15 | character | topical-index
68:4 | character | topical-index
69:33-34 | character | topical-index
70:22-23 | character | topical-index
71:13-14 | dua | quranic-dua
72:18 | character | topical-index
73:1-2 | character | topical-index
73:8 | character | topical-index
73:9 | tawhid | topical-index
74:1-3 | character | topical-index
74:38 | accountability | topical-index
75:22-23 | character | topical-index
75:36 | character | topical-index
76:3 | gratitude | topical-index
76:8-9 | gratitude | topical-index
76:25-26 | character | topical-index
77:41-42 | character | topical-index
78:6-7 | character | topical-index
78:31-32 | character | topical-index
79:34-35 | character | topical-index
79:40-41 | hereafter | topical-index
80:24 | character | topical-index
80:38-39 | character | topical-index
81:29 | tawhid | topical-index
82:6 | dua | quranic-dua
82:13-14 | warning | topical-index
83:1-3 | accountability | topical-index
84:6 | character | topical-index
84:7-9 | accountability | topical-index
84:19 | character | topical-index
85:13-14 | mercy | topical-index
85:21-22 | character | topical-index
86:4 | reliance | topical-index
87:1 | dua | quranic-dua
87:14-15 | character | topical-index
87:16-17 | hereafter | topical-index
88:17-18 | character | topical-index
88:21-22 | character | topical-index
89:17-18 | character | topical-index
89:27-30 | dua | quranic-dua
90:8-10 | character | topical-index
91:7-8 | character | topical-index
91:7-10 | character | topical-index
92:5-7 | hope | topical-index
92:5-10 | accountability | topical-index
92:12-13 | hereafter | topical-index
93:1-2 | character | topical-index
93:3-5 | hereafter | topical-index
93:6-8 | character | topical-index
93:9-11 | dua | quranic-dua
94:1-3 | accountability | topical-index
94:5-6 | hope | topical-index
94:7-8 | character | topical-index
95:4 | character | topical-index
95:5-6 | character | topical-index
95:8 | character | topical-index
96:1-3 | character | topical-index
96:4-5 | knowledge | topical-index
97:1-3 | character | topical-index
97:4-5 | character | topical-index
98:5 | tawhid | topical-index
98:7 | character | topical-index
99:4-5 | character | topical-index
99:6-8 | accountability | topical-index
99:7-8 | accountability | topical-index
100:6-8 | justice | topical-index
101:6-7 | character | topical-index
102:1-2 | character | topical-index
103:1-3 | patience | topical-index
104:1-2 | character | topical-index
104:1-3 | warning | topical-index
106:3-4 | character | topical-index
107:1-3 | accountability | topical-index
108:1-3 | character | topical-index
109:1-6 | character | topical-index
110:1-3 | mercy | topical-index
112:1-4 | hereafter | muawwidhatayn
113:1-5 | dua | muawwidhatayn
114:1-6 | dua | muawwidhatayn
